scenario,job_id,job_type,is_critical,server_id,start_slot,end_slot,start_time,end_time,duration_hours
base,0,batch,0,19,0,18,00:00,04:30,4.5
base,1,interactive,1,3,0,1,00:00,00:15,0.25
base,1,interactive,1,19,0,1,00:00,00:15,0.25
base,2,batch,0,1,0,14,00:00,03:30,3.5
base,3,batch,0,6,0,19,00:00,04:45,4.75
base,4,batch,0,22,2,14,00:30,03:30,3.0
base,5,batch,0,24,4,19,01:00,04:45,3.75
base,6,interactive,0,37,4,5,01:00,01:15,0.25
base,7,batch,1,16,4,22,01:00,05:30,4.5
base,7,batch,1,18,4,22,01:00,05:30,4.5
base,8,interactive,0,37,6,7,01:30,01:45,0.25
base,9,interactive,1,3,6,7,01:30,01:45,0.25
base,9,interactive,1,12,6,7,01:30,01:45,0.25
base,10,batch,0,8,5,22,01:15,05:30,4.25
base,11,interactive,0,37,8,9,02:00,02:15,0.25
base,12,interactive,0,37,9,10,02:15,02:30,0.25
base,13,interactive,1,3,11,12,02:45,03:00,0.25
base,13,interactive,1,19,11,12,02:45,03:00,0.25
base,14,interactive,1,3,10,11,02:30,02:45,0.25
base,14,interactive,1,19,10,11,02:30,02:45,0.25
base,15,interactive,0,37,10,11,02:30,02:45,0.25
base,16,batch,0,27,13,27,03:15,06:45,3.5
base,17,interactive,1,3,11,12,02:45,03:00,0.25
base,17,interactive,1,19,11,12,02:45,03:00,0.25
base,18,batch,0,29,12,23,03:00,05:45,2.75
base,19,batch,0,12,10,27,02:30,06:45,4.25
base,20,batch,0,37,11,28,02:45,07:00,4.25
base,21,batch,0,3,11,30,02:45,07:30,4.75
base,22,interactive,0,38,13,14,03:15,03:30,0.25
base,23,interactive,1,0,13,15,03:15,03:45,0.5
base,23,interactive,1,29,13,15,03:15,03:45,0.5
base,24,batch,0,0,13,31,03:15,07:45,4.5
base,25,batch,0,1,14,33,03:30,08:15,4.75
base,26,batch,1,1,13,30,03:15,07:30,4.25
base,26,batch,1,8,13,30,03:15,07:30,4.25
base,27,interactive,1,0,14,16,03:30,04:00,0.5
base,27,interactive,1,29,14,16,03:30,04:00,0.5
base,28,interactive,0,38,14,15,03:30,03:45,0.25
base,29,interactive,0,29,15,16,03:45,04:00,0.25
base,30,interactive,0,31,15,16,03:45,04:00,0.25
base,31,interactive,1,29,15,17,03:45,04:15,0.5
base,31,interactive,1,31,15,17,03:45,04:15,0.5
base,32,interactive,1,29,15,16,03:45,04:00,0.25
base,32,interactive,1,31,15,16,03:45,04:00,0.25
base,33,interactive,1,17,15,16,03:45,04:00,0.25
base,33,interactive,1,22,15,16,03:45,04:00,0.25
base,34,batch,0,31,15,32,03:45,08:00,4.25
base,35,batch,0,22,16,29,04:00,07:15,3.25
base,36,interactive,0,31,16,17,04:00,04:15,0.25
base,37,batch,0,38,15,29,03:45,07:15,3.5
base,38,batch,1,6,19,37,04:45,09:15,4.5
base,38,batch,1,17,16,34,04:00,08:30,4.5
base,39,batch,1,19,18,35,04:30,08:45,4.25
base,39,batch,1,24,19,36,04:45,09:00,4.25
base,40,batch,0,16,22,41,05:30,10:15,4.75
base,41,interactive,1,29,17,18,04:15,04:30,0.25
base,41,interactive,1,31,17,18,04:15,04:30,0.25
base,42,batch,0,26,19,34,04:45,08:30,3.75
base,43,batch,0,18,22,39,05:30,09:45,4.25
base,44,interactive,0,31,19,20,04:45,05:00,0.25
base,45,interactive,1,26,20,22,05:00,05:30,0.5
base,45,interactive,1,31,20,22,05:00,05:30,0.5
base,46,batch,0,8,22,37,05:30,09:15,3.75
base,47,batch,1,19,19,34,04:45,08:30,3.75
base,47,batch,1,29,19,34,04:45,08:30,3.75
base,48,interactive,1,26,19,21,04:45,05:15,0.5
base,48,interactive,1,31,19,21,04:45,05:15,0.5
base,49,interactive,1,26,21,23,05:15,05:45,0.5
base,49,interactive,1,31,21,23,05:15,05:45,0.5
base,50,batch,1,17,21,33,05:15,08:15,3.0
base,50,batch,1,27,21,33,05:15,08:15,3.0
base,51,batch,0,35,21,34,05:15,08:30,3.25
base,52,interactive,1,29,23,25,05:45,06:15,0.5
base,52,interactive,1,31,23,25,05:45,06:15,0.5
base,53,interactive,1,29,23,25,05:45,06:15,0.5
base,53,interactive,1,31,23,25,05:45,06:15,0.5
base,54,batch,1,12,27,44,06:45,11:00,4.25
base,54,batch,1,27,27,44,06:45,11:00,4.25
base,55,interactive,1,29,24,26,06:00,06:30,0.5
base,55,interactive,1,31,24,26,06:00,06:30,0.5
base,56,batch,0,29,23,36,05:45,09:00,3.25
base,57,batch,1,12,23,39,05:45,09:45,4.0
base,57,batch,1,27,23,39,05:45,09:45,4.0
base,58,interactive,0,31,25,26,06:15,06:30,0.25
base,59,batch,0,22,29,47,07:15,11:45,4.5
base,60,batch,0,38,29,46,07:15,11:30,4.25
base,61,interactive,0,31,26,27,06:30,06:45,0.25
base,62,batch,0,3,25,40,06:15,10:00,3.75
base,63,interactive,0,31,27,28,06:45,07:00,0.25
base,64,batch,0,3,30,45,07:30,11:15,3.75
base,65,interactive,0,31,29,30,07:15,07:30,0.25
base,66,interactive,0,31,30,31,07:30,07:45,0.25
base,67,interactive,1,26,30,31,07:30,07:45,0.25
base,67,interactive,1,31,30,31,07:30,07:45,0.25
base,68,interactive,1,26,30,31,07:30,07:45,0.25
base,68,interactive,1,31,30,31,07:30,07:45,0.25
base,69,batch,0,1,33,50,08:15,12:30,4.25
base,70,interactive,1,26,31,33,07:45,08:15,0.5
base,70,interactive,1,29,31,33,07:45,08:15,0.5
base,71,interactive,0,31,31,32,07:45,08:00,0.25
base,72,interactive,0,26,32,33,08:00,08:15,0.25
base,73,batch,0,8,37,53,09:15,13:15,4.0
base,74,interactive,1,27,34,36,08:30,09:00,0.5
base,74,interactive,1,29,34,36,08:30,09:00,0.5
base,75,interactive,0,29,34,35,08:30,08:45,0.25
base,76,interactive,0,29,35,36,08:45,09:00,0.25
base,77,batch,0,6,37,52,09:15,13:00,3.75
base,78,batch,0,24,36,53,09:00,13:15,4.25
base,79,batch,0,18,39,61,09:45,15:15,5.5
base,80,interactive,1,12,40,42,10:00,10:30,0.5
base,80,interactive,1,27,40,42,10:00,10:30,0.5
base,81,batch,0,18,41,61,10:15,15:15,5.0
base,82,interactive,0,3,43,44,10:45,11:00,0.25
base,83,interactive,0,3,41,42,10:15,10:30,0.25
base,84,interactive,0,3,42,43,10:30,10:45,0.25
base,85,batch,0,16,42,56,10:30,14:00,3.5
base,86,batch,1,12,42,62,10:30,15:30,5.0
base,86,batch,1,27,42,62,10:30,15:30,5.0
base,87,interactive,1,12,43,45,10:45,11:15,0.5
base,87,interactive,1,27,43,45,10:45,11:15,0.5
base,88,batch,0,1,49,66,12:15,16:30,4.25
base,89,interactive,0,27,45,46,11:15,11:30,0.25
base,90,batch,1,3,45,62,11:15,15:30,4.25
base,90,batch,1,12,45,62,11:15,15:30,4.25
base,91,batch,1,6,50,70,12:30,17:30,5.0
base,91,batch,1,8,50,70,12:30,17:30,5.0
base,92,interactive,1,12,46,48,11:30,12:00,0.5
base,92,interactive,1,27,46,48,11:30,12:00,0.5
base,93,interactive,1,12,46,48,11:30,12:00,0.5
base,93,interactive,1,27,46,48,11:30,12:00,0.5
base,94,interactive,0,38,46,47,11:30,11:45,0.25
base,95,batch,1,22,50,66,12:30,16:30,4.0
base,95,batch,1,27,46,62,11:30,15:30,4.0
base,96,batch,1,6,50,68,12:30,17:00,4.5
base,96,batch,1,22,50,68,12:30,17:00,4.5
base,97,interactive,1,12,48,50,12:00,12:30,0.5
base,97,interactive,1,27,48,50,12:00,12:30,0.5
base,98,batch,0,1,50,67,12:30,16:45,4.25
base,99,batch,0,24,53,71,13:15,17:45,4.5
base,100,interactive,0,38,48,49,12:00,12:15,0.25
base,101,batch,1,6,52,69,13:00,17:15,4.25
base,101,batch,1,8,53,70,13:15,17:30,4.25
base,102,batch,0,24,54,71,13:30,17:45,4.25
base,103,batch,0,38,49,65,12:15,16:15,4.0
base,104,interactive,1,12,53,55,13:15,13:45,0.5
base,104,interactive,1,27,53,55,13:15,13:45,0.5
base,105,batch,0,10,57,69,14:15,17:15,3.0
base,106,interactive,0,27,54,55,13:30,13:45,0.25
base,107,interactive,0,27,55,56,13:45,14:00,0.25
base,108,batch,0,17,60,74,15:00,18:30,3.5
base,109,interactive,0,27,56,57,14:00,14:15,0.25
base,110,interactive,1,12,56,58,14:00,14:30,0.5
base,110,interactive,1,27,56,58,14:00,14:30,0.5
base,111,interactive,0,27,57,58,14:15,14:30,0.25
base,112,batch,1,0,59,77,14:45,19:15,4.5
base,112,batch,1,16,56,74,14:00,18:30,4.5
base,113,batch,1,18,61,79,15:15,19:45,4.5
base,113,batch,1,19,59,77,14:45,19:15,4.5
base,114,interactive,1,12,58,59,14:30,14:45,0.25
base,114,interactive,1,27,58,59,14:30,14:45,0.25
base,115,interactive,0,27,58,59,14:30,14:45,0.25
base,116,interactive,1,12,59,60,14:45,15:00,0.25
base,116,interactive,1,27,59,60,14:45,15:00,0.25
base,117,batch,0,38,65,81,16:15,20:15,4.0
base,118,interactive,0,27,61,62,15:15,15:30,0.25
base,119,interactive,1,6,65,67,16:15,16:45,0.5
base,119,interactive,1,22,65,67,16:15,16:45,0.5
base,120,interactive,1,1,64,65,16:00,16:15,0.25
base,120,interactive,1,6,65,66,16:15,16:30,0.25
base,121,batch,0,22,68,88,17:00,22:00,5.0
