scenario,job_id,job_type,is_critical,server_id,start_slot,end_slot,start_time,end_time,duration_hours
high_energy_cost_50pct,0,batch,0,19,0,18,00:00,04:30,4.5
high_energy_cost_50pct,1,interactive,1,6,0,1,00:00,00:15,0.25
high_energy_cost_50pct,1,interactive,1,8,0,1,00:00,00:15,0.25
high_energy_cost_50pct,2,batch,0,6,0,14,00:00,03:30,3.5
high_energy_cost_50pct,3,batch,0,12,0,19,00:00,04:45,4.75
high_energy_cost_50pct,4,batch,0,22,2,14,00:30,03:30,3.0
high_energy_cost_50pct,5,batch,0,24,4,19,01:00,04:45,3.75
high_energy_cost_50pct,6,interactive,0,6,4,5,01:00,01:15,0.25
high_energy_cost_50pct,7,batch,1,1,4,22,01:00,05:30,4.5
high_energy_cost_50pct,7,batch,1,16,4,22,01:00,05:30,4.5
high_energy_cost_50pct,8,interactive,0,38,6,7,01:30,01:45,0.25
high_energy_cost_50pct,9,interactive,1,3,6,7,01:30,01:45,0.25
high_energy_cost_50pct,9,interactive,1,8,5,6,01:15,01:30,0.25
high_energy_cost_50pct,10,batch,0,18,5,22,01:15,05:30,4.25
high_energy_cost_50pct,11,interactive,0,38,8,9,02:00,02:15,0.25
high_energy_cost_50pct,12,interactive,0,38,9,10,02:15,02:30,0.25
high_energy_cost_50pct,13,interactive,1,0,11,12,02:45,03:00,0.25
high_energy_cost_50pct,13,interactive,1,29,11,12,02:45,03:00,0.25
high_energy_cost_50pct,14,interactive,1,0,10,11,02:30,02:45,0.25
high_energy_cost_50pct,14,interactive,1,29,10,11,02:30,02:45,0.25
high_energy_cost_50pct,15,interactive,0,38,10,11,02:30,02:45,0.25
high_energy_cost_50pct,16,batch,0,29,10,24,02:30,06:00,3.5
high_energy_cost_50pct,17,interactive,1,0,11,12,02:45,03:00,0.25
high_energy_cost_50pct,17,interactive,1,29,11,12,02:45,03:00,0.25
high_energy_cost_50pct,18,batch,0,0,10,21,02:30,05:15,2.75
high_energy_cost_50pct,19,batch,0,3,10,27,02:30,06:45,4.25
high_energy_cost_50pct,20,batch,0,37,11,28,02:45,07:00,4.25
high_energy_cost_50pct,21,batch,0,8,11,30,02:45,07:30,4.75
high_energy_cost_50pct,22,interactive,0,38,13,14,03:15,03:30,0.25
high_energy_cost_50pct,23,interactive,1,0,13,15,03:15,03:45,0.5
high_energy_cost_50pct,23,interactive,1,17,13,15,03:15,03:45,0.5
high_energy_cost_50pct,24,batch,0,22,14,32,03:30,08:00,4.5
high_energy_cost_50pct,25,batch,0,6,14,33,03:30,08:15,4.75
high_energy_cost_50pct,26,batch,1,0,13,30,03:15,07:30,4.25
high_energy_cost_50pct,26,batch,1,29,13,30,03:15,07:30,4.25
high_energy_cost_50pct,27,interactive,1,0,14,16,03:30,04:00,0.5
high_energy_cost_50pct,27,interactive,1,17,14,16,03:30,04:00,0.5
high_energy_cost_50pct,28,interactive,0,31,15,16,03:45,04:00,0.25
