scenario,job_id,job_type,is_critical,server_id,start_slot,end_slot,start_time,end_time,duration_hours
reduced_capacity_10pct,0,batch,0,6,0,18,00:00,04:30,4.5
reduced_capacity_10pct,1,interactive,1,6,0,1,00:00,00:15,0.25
reduced_capacity_10pct,1,interactive,1,27,0,1,00:00,00:15,0.25
reduced_capacity_10pct,2,batch,0,19,0,14,00:00,03:30,3.5
reduced_capacity_10pct,3,batch,0,22,0,19,00:00,04:45,4.75
reduced_capacity_10pct,4,batch,0,24,2,14,00:30,03:30,3.0
reduced_capacity_10pct,5,batch,0,18,4,19,01:00,04:45,3.75
reduced_capacity_10pct,6,interactive,0,6,4,5,01:00,01:15,0.25
reduced_capacity_10pct,7,batch,1,8,4,22,01:00,05:30,4.5
reduced_capacity_10pct,7,batch,1,16,4,22,01:00,05:30,4.5
reduced_capacity_10pct,8,interactive,0,6,6,7,01:30,01:45,0.25
reduced_capacity_10pct,9,interactive,1,1,5,6,01:15,01:30,0.25
reduced_capacity_10pct,9,interactive,1,3,6,7,01:30,01:45,0.25
reduced_capacity_10pct,10,batch,0,1,6,23,01:30,05:45,4.25
reduced_capacity_10pct,11,interactive,0,6,8,9,02:00,02:15,0.25
reduced_capacity_10pct,12,interactive,0,6,9,10,02:15,02:30,0.25
reduced_capacity_10pct,13,interactive,1,6,11,12,02:45,03:00,0.25
reduced_capacity_10pct,13,interactive,1,29,11,12,02:45,03:00,0.25
reduced_capacity_10pct,14,interactive,1,6,10,11,02:30,02:45,0.25
reduced_capacity_10pct,14,interactive,1,8,10,11,02:30,02:45,0.25
reduced_capacity_10pct,15,interactive,0,6,10,11,02:30,02:45,0.25
reduced_capacity_10pct,16,batch,0,12,10,24,02:30,06:00,3.5
reduced_capacity_10pct,17,interactive,1,6,11,12,02:45,03:00,0.25
reduced_capacity_10pct,17,interactive,1,29,11,12,02:45,03:00,0.25
reduced_capacity_10pct,18,batch,0,31,12,23,03:00,05:45,2.75
reduced_capacity_10pct,19,batch,0,3,10,27,02:30,06:45,4.25
reduced_capacity_10pct,20,batch,0,24,14,31,03:30,07:45,4.25
reduced_capacity_10pct,21,batch,0,29,11,30,02:45,07:30,4.75
reduced_capacity_10pct,22,interactive,0,31,12,13,03:00,03:15,0.25
reduced_capacity_10pct,23,interactive,1,29,13,15,03:15,03:45,0.5
reduced_capacity_10pct,23,interactive,1,31,12,14,03:00,03:30,0.5
reduced_capacity_10pct,24,batch,0,26,14,32,03:30,08:00,4.5
reduced_capacity_10pct,25,batch,0,19,14,33,03:30,08:15,4.75
reduced_capacity_10pct,26,batch,1,29,13,30,03:15,07:30,4.25
reduced_capacity_10pct,26,batch,1,31,13,30,03:15,07:30,4.25
reduced_capacity_10pct,27,interactive,1,6,14,16,03:30,04:00,0.5
reduced_capacity_10pct,27,interactive,1,29,14,16,03:30,04:00,0.5
reduced_capacity_10pct,28,interactive,0,6,15,16,03:45,04:00,0.25
reduced_capacity_10pct,29,interactive,0,31,14,15,03:30,03:45,0.25
reduced_capacity_10pct,30,interactive,0,0,15,16,03:45,04:00,0.25
reduced_capacity_10pct,31,interactive,1,0,15,17,03:45,04:15,0.5
reduced_capacity_10pct,31,interactive,1,29,15,17,03:45,04:15,0.5
reduced_capacity_10pct,32,interactive,1,29,15,16,03:45,04:00,0.25
reduced_capacity_10pct,32,interactive,1,31,15,16,03:45,04:00,0.25
reduced_capacity_10pct,33,interactive,1,17,16,17,04:00,04:15,0.25
reduced_capacity_10pct,33,interactive,1,27,15,16,03:45,04:00,0.25
reduced_capacity_10pct,34,batch,0,0,15,32,03:45,08:00,4.25
reduced_capacity_10pct,35,batch,0,10,15,28,03:45,07:00,3.25
reduced_capacity_10pct,36,interactive,0,26,16,17,04:00,04:15,0.25
reduced_capacity_10pct,37,batch,0,24,15,29,03:45,07:15,3.5
reduced_capacity_10pct,38,batch,1,18,19,37,04:45,09:15,4.5
reduced_capacity_10pct,38,batch,1,27,16,34,04:00,08:30,4.5
reduced_capacity_10pct,39,batch,1,6,18,35,04:30,08:45,4.25
reduced_capacity_10pct,39,batch,1,22,19,36,04:45,09:00,4.25
reduced_capacity_10pct,40,batch,0,8,22,41,05:30,10:15,4.75
reduced_capacity_10pct,41,interactive,1,26,17,18,04:15,04:30,0.25
reduced_capacity_10pct,41,interactive,1,31,17,18,04:15,04:30,0.25
reduced_capacity_10pct,42,batch,0,17,17,32,04:15,08:00,3.75
reduced_capacity_10pct,43,batch,0,28,19,36,04:45,09:00,4.25
reduced_capacity_10pct,44,interactive,0,26,19,20,04:45,05:00,0.25
reduced_capacity_10pct,45,interactive,1,17,20,22,05:00,05:30,0.5
reduced_capacity_10pct,45,interactive,1,28,20,22,05:00,05:30,0.5
reduced_capacity_10pct,46,batch,0,31,23,38,05:45,09:30,3.75
reduced_capacity_10pct,47,batch,1,10,19,34,04:45,08:30,3.75
reduced_capacity_10pct,47,batch,1,19,19,34,04:45,08:30,3.75
reduced_capacity_10pct,48,interactive,1,17,20,22,05:00,05:30,0.5
reduced_capacity_10pct,48,interactive,1,28,20,22,05:00,05:30,0.5
reduced_capacity_10pct,49,interactive,1,28,21,23,05:15,05:45,0.5
reduced_capacity_10pct,49,interactive,1,31,21,23,05:15,05:45,0.5
reduced_capacity_10pct,50,batch,1,10,21,33,05:15,08:15,3.0
reduced_capacity_10pct,50,batch,1,26,21,33,05:15,08:15,3.0
reduced_capacity_10pct,51,batch,0,12,24,37,06:00,09:15,3.25
reduced_capacity_10pct,52,interactive,1,26,22,24,05:30,06:00,0.5
reduced_capacity_10pct,52,interactive,1,28,22,24,05:30,06:00,0.5
reduced_capacity_10pct,53,interactive,1,26,23,25,05:45,06:15,0.5
reduced_capacity_10pct,53,interactive,1,28,23,25,05:45,06:15,0.5
reduced_capacity_10pct,54,batch,1,3,27,44,06:45,11:00,4.25
reduced_capacity_10pct,54,batch,1,16,22,39,05:30,09:45,4.25
reduced_capacity_10pct,55,interactive,1,26,24,26,06:00,06:30,0.5
reduced_capacity_10pct,55,interactive,1,28,24,26,06:00,06:30,0.5
reduced_capacity_10pct,56,batch,0,1,23,36,05:45,09:00,3.25
reduced_capacity_10pct,57,batch,1,1,23,39,05:45,09:45,4.0
reduced_capacity_10pct,57,batch,1,8,23,39,05:45,09:45,4.0
reduced_capacity_10pct,58,interactive,0,28,25,26,06:15,06:30,0.25
reduced_capacity_10pct,59,batch,0,10,28,46,07:00,11:30,4.5
reduced_capacity_10pct,60,batch,0,12,25,42,06:15,10:30,4.25
reduced_capacity_10pct,61,interactive,0,28,26,27,06:30,06:45,0.25
reduced_capacity_10pct,62,batch,0,38,30,45,07:30,11:15,3.75
reduced_capacity_10pct,63,interactive,0,28,27,28,06:45,07:00,0.25
reduced_capacity_10pct,64,batch,0,24,31,46,07:45,11:30,3.75
reduced_capacity_10pct,65,interactive,0,28,28,29,07:00,07:15,0.25
reduced_capacity_10pct,66,interactive,0,28,30,31,07:30,07:45,0.25
reduced_capacity_10pct,67,interactive,1,26,30,31,07:30,07:45,0.25
reduced_capacity_10pct,67,interactive,1,28,29,30,07:15,07:30,0.25
reduced_capacity_10pct,68,interactive,1,26,30,31,07:30,07:45,0.25
reduced_capacity_10pct,68,interactive,1,28,29,30,07:15,07:30,0.25
reduced_capacity_10pct,69,batch,0,19,33,50,08:15,12:30,4.25
reduced_capacity_10pct,70,interactive,1,26,31,33,07:45,08:15,0.5
reduced_capacity_10pct,70,interactive,1,28,31,33,07:45,08:15,0.5
reduced_capacity_10pct,71,interactive,0,28,31,32,07:45,08:00,0.25
reduced_capacity_10pct,72,interactive,0,28,32,33,08:00,08:15,0.25
reduced_capacity_10pct,73,batch,0,18,37,53,09:15,13:15,4.0
reduced_capacity_10pct,74,interactive,1,28,34,36,08:30,09:00,0.5
reduced_capacity_10pct,74,interactive,1,31,34,36,08:30,09:00,0.5
reduced_capacity_10pct,75,interactive,0,28,34,35,08:30,08:45,0.25
reduced_capacity_10pct,76,interactive,0,28,35,36,08:45,09:00,0.25
reduced_capacity_10pct,77,batch,0,1,36,51,09:00,12:45,3.75
reduced_capacity_10pct,78,batch,0,22,36,53,09:00,13:15,4.25
reduced_capacity_10pct,79,batch,0,16,39,61,09:45,15:15,5.5
reduced_capacity_10pct,80,interactive,1,8,39,41,09:45,10:15,0.5
reduced_capacity_10pct,80,interactive,1,10,39,41,09:45,10:15,0.5
reduced_capacity_10pct,81,batch,0,38,46,66,11:30,16:30,5.0
