scenario,server_id,server_type,slots_active,avg_load,max_load,batch_avg_load,interactive_avg_load,utilization_rate_pct,pm_scheduled,pm_start_time,pm_end_time,final_status
high_demand_25pct,0,GPU,55,0.313152,0.6094,0.311035,0.002117,57.29,0,,,active
high_demand_25pct,1,GPU,89,0.497086,0.7422,0.48907,0.008017,92.71,0,,,active
high_demand_25pct,2,GPU,15,0.063998,0.457,0.063469,0.000529,15.62,0,,,active
high_demand_25pct,3,GPU,85,0.4635,0.8124,0.442342,0.021158,88.54,0,,,active
high_demand_25pct,4,GPU,16,0.0677,0.4062,0.0677,0.0,16.67,0,,,active
high_demand_25pct,5,GPU,15,0.078933,0.9374,0.063469,0.015465,15.62,0,,,active
high_demand_25pct,6,GPU,87,0.466834,0.9609,0.456988,0.009847,90.62,0,,,active
high_demand_25pct,7,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_demand_25pct,8,GPU,88,0.441403,0.6602,0.441403,0.0,91.67,0,,,active
high_demand_25pct,9,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_demand_25pct,10,GPU,32,0.1354,0.4062,0.1354,0.0,33.33,0,,,active
high_demand_25pct,11,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_demand_25pct,12,GPU,85,0.47805,0.7657,0.462504,0.015546,88.54,0,,,active
high_demand_25pct,13,GPU,16,0.077221,0.8124,0.0677,0.009521,16.67,0,,,active
high_demand_25pct,14,GPU,16,0.098177,0.9374,0.0677,0.030477,16.67,0,,,active
high_demand_25pct,15,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_demand_25pct,16,GPU,96,0.50781,0.6602,0.50781,0.0,100.0,0,,,active
high_demand_25pct,17,GPU,51,0.30046,0.6602,0.294112,0.006348,53.12,0,,,active
high_demand_25pct,18,GPU,96,0.524892,0.6914,0.524892,0.0,100.0,0,,,active
high_demand_25pct,19,GPU,72,0.429004,0.6602,0.426888,0.002117,75.0,0,,,active
high_demand_25pct,20,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_demand_25pct,21,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_demand_25pct,22,GPU,88,0.379862,0.8204,0.364644,0.015219,91.67,0,,,active
high_demand_25pct,23,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_demand_25pct,24,GPU,96,0.497994,0.6914,0.497994,0.0,100.0,0,,,active
high_demand_25pct,25,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_demand_25pct,26,GPU,35,0.187824,0.8632,0.177731,0.010093,36.46,0,,,active
high_demand_25pct,27,GPU,70,0.399823,0.9922,0.360192,0.039631,72.92,0,,,active
high_demand_25pct,28,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_demand_25pct,29,GPU,44,0.244465,0.8515,0.22375,0.020715,45.83,0,,,active
high_demand_25pct,30,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_demand_25pct,31,GPU,34,0.190229,0.9687,0.143863,0.046367,35.42,0,,,active
high_demand_25pct,32,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_demand_25pct,33,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_demand_25pct,34,CPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_demand_25pct,35,CPU,15,0.041261,0.3047,0.041261,0.0,15.62,0,,,active
high_demand_25pct,36,CPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_demand_25pct,37,CPU,51,0.134359,0.4062,0.104741,0.029619,53.12,0,,,active
high_demand_25pct,38,CPU,96,0.262377,0.4062,0.241221,0.021156,100.0,0,,,active
high_demand_25pct,39,CPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_demand_25pct,40,CPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_demand_25pct,41,CPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
