scenario,server_id,server_type,slots_active,avg_load,max_load,batch_avg_load,interactive_avg_load,utilization_rate_pct,pm_scheduled,pm_start_time,pm_end_time,final_status
high_energy_cost_50pct,0,GPU,47,0.285897,0.8985,0.268357,0.01754,48.96,0,,,active
high_energy_cost_50pct,1,GPU,78,0.468163,0.6602,0.468163,0.0,81.25,0,,,active
high_energy_cost_50pct,2,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_energy_cost_50pct,3,GPU,85,0.45721,0.6602,0.450862,0.006348,88.54,0,,,active
high_energy_cost_50pct,4,GPU,18,0.114263,0.6094,0.114263,0.0,18.75,0,,,active
high_energy_cost_50pct,5,GPU,16,0.097404,0.9687,0.063469,0.033935,16.67,0,,,active
high_energy_cost_50pct,6,GPU,70,0.379265,0.8124,0.374504,0.00476,72.92,0,,,active
high_energy_cost_50pct,7,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_energy_cost_50pct,8,GPU,85,0.432459,0.9687,0.414879,0.01758,88.54,0,,,active
high_energy_cost_50pct,9,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_energy_cost_50pct,10,GPU,49,0.251274,0.9414,0.212717,0.038557,51.04,0,,,active
high_energy_cost_50pct,11,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_energy_cost_50pct,12,GPU,91,0.473913,0.6094,0.473913,0.0,94.79,0,,,active
high_energy_cost_50pct,13,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_energy_cost_50pct,14,GPU,16,0.0677,0.4062,0.0677,0.0,16.67,0,,,active
high_energy_cost_50pct,15,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_energy_cost_50pct,16,GPU,96,0.515979,0.6914,0.515979,0.0,100.0,0,,,active
high_energy_cost_50pct,17,GPU,52,0.290235,0.9374,0.240675,0.04956,54.17,0,,,active
high_energy_cost_50pct,18,GPU,96,0.454367,0.6602,0.454367,0.0,100.0,0,,,active
high_energy_cost_50pct,19,GPU,86,0.447488,0.7187,0.446594,0.000894,89.58,0,,,active
high_energy_cost_50pct,20,GPU,19,0.090854,0.8632,0.076163,0.014692,19.79,0,,,active
high_energy_cost_50pct,21,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_energy_cost_50pct,22,GPU,87,0.440415,0.8204,0.431869,0.008546,90.62,0,,,active
high_energy_cost_50pct,23,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_energy_cost_50pct,24,GPU,91,0.454606,0.6914,0.454606,0.0,94.79,0,,,active
high_energy_cost_50pct,25,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_energy_cost_50pct,26,GPU,18,0.114263,0.6094,0.114263,0.0,18.75,0,,,active
high_energy_cost_50pct,27,GPU,71,0.363956,0.9179,0.345321,0.018635,73.96,0,,,active
high_energy_cost_50pct,28,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_energy_cost_50pct,29,GPU,63,0.347328,0.6563,0.343868,0.00346,65.62,0,,,active
high_energy_cost_50pct,30,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_energy_cost_50pct,31,GPU,35,0.229081,0.9179,0.186194,0.042888,36.46,0,,,active
high_energy_cost_50pct,32,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_energy_cost_50pct,33,GPU,17,0.071931,0.4062,0.071931,0.0,17.71,0,,,active
high_energy_cost_50pct,34,CPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_energy_cost_50pct,35,CPU,13,0.041261,0.3047,0.041261,0.0,13.54,0,,,active
high_energy_cost_50pct,36,CPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_energy_cost_50pct,37,CPU,51,0.113203,0.4062,0.104741,0.008462,53.12,0,,,active
high_energy_cost_50pct,38,CPU,96,0.279302,0.4062,0.241221,0.038081,100.0,0,,,active
high_energy_cost_50pct,39,CPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_energy_cost_50pct,40,CPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
high_energy_cost_50pct,41,CPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
