scenario,server_id,server_type,slots_active,avg_load,max_load,batch_avg_load,interactive_avg_load,utilization_rate_pct,pm_scheduled,pm_start_time,pm_end_time,final_status
reduced_capacity_10pct,0,GPU,55,0.268135,0.8906,0.250152,0.017983,57.29,0,,,active
reduced_capacity_10pct,1,GPU,89,0.384167,0.6094,0.377819,0.006348,92.71,0,,,active
reduced_capacity_10pct,2,GPU,16,0.071931,0.8124,0.0677,0.004231,16.67,0,,,active
reduced_capacity_10pct,3,GPU,85,0.44825,0.7149,0.433763,0.014488,88.54,0,,,active
reduced_capacity_10pct,4,GPU,18,0.114263,0.6094,0.114263,0.0,18.75,0,,,active
reduced_capacity_10pct,5,GPU,19,0.071931,0.4062,0.071931,0.0,19.79,0,,,active
reduced_capacity_10pct,6,GPU,71,0.377135,0.8632,0.348573,0.028563,73.96,0,,,active
reduced_capacity_10pct,7,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
reduced_capacity_10pct,8,GPU,78,0.437633,0.6602,0.436046,0.001587,81.25,0,,,active
reduced_capacity_10pct,9,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
reduced_capacity_10pct,10,GPU,69,0.363719,0.8632,0.313998,0.049721,71.88,0,,,active
reduced_capacity_10pct,11,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
reduced_capacity_10pct,12,GPU,96,0.45544,0.6094,0.45544,0.0,100.0,0,,,active
reduced_capacity_10pct,13,GPU,15,0.070875,0.8632,0.063469,0.007406,15.62,0,,,active
reduced_capacity_10pct,14,GPU,18,0.114263,0.6094,0.114263,0.0,18.75,0,,,active
reduced_capacity_10pct,15,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
reduced_capacity_10pct,16,GPU,96,0.501458,0.6094,0.501458,0.0,100.0,0,,,active
reduced_capacity_10pct,17,GPU,44,0.226582,0.8632,0.181944,0.044639,45.83,0,,,active
reduced_capacity_10pct,18,GPU,96,0.478179,0.6094,0.478179,0.0,100.0,0,,,active
reduced_capacity_10pct,19,GPU,88,0.439067,0.7188,0.428852,0.010215,91.67,0,,,active
reduced_capacity_10pct,20,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
reduced_capacity_10pct,21,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
reduced_capacity_10pct,22,GPU,96,0.492025,0.6094,0.492025,0.0,100.0,0,,,active
reduced_capacity_10pct,23,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
reduced_capacity_10pct,24,GPU,96,0.441731,0.8359,0.436198,0.005533,100.0,0,,,active
reduced_capacity_10pct,25,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
reduced_capacity_10pct,26,GPU,39,0.214802,0.8124,0.196775,0.018027,40.62,0,,,active
reduced_capacity_10pct,27,GPU,60,0.356013,0.6094,0.349135,0.006877,62.5,0,,,active
reduced_capacity_10pct,28,GPU,17,0.119111,0.8632,0.071931,0.04718,17.71,0,,,active
reduced_capacity_10pct,29,GPU,54,0.296347,0.8672,0.285522,0.010825,56.25,0,,,active
reduced_capacity_10pct,30,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
reduced_capacity_10pct,31,GPU,46,0.254149,0.8632,0.242957,0.011192,47.92,0,,,active
reduced_capacity_10pct,32,GPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
reduced_capacity_10pct,33,GPU,15,0.082594,0.8632,0.063469,0.019125,15.62,0,,,active
reduced_capacity_10pct,34,CPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
reduced_capacity_10pct,35,CPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
reduced_capacity_10pct,36,CPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
reduced_capacity_10pct,37,CPU,17,0.050504,0.2852,0.050504,0.0,17.71,0,,,active
reduced_capacity_10pct,38,CPU,52,0.151513,0.2852,0.151513,0.0,54.17,0,,,active
reduced_capacity_10pct,39,CPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
reduced_capacity_10pct,40,CPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
reduced_capacity_10pct,41,CPU,0,0.0,0.0,0.0,0.0,0.0,0,,,idle
