approach,model,target,metric_type,MSE,RMSE,MAE,MAPE,SMAPE,R2,LOG_R2,accuracy,precision_macro,recall_macro,f1_macro,source_file,notes
Direct Aggregate Window Forecasting,XGBoost,batch_count,,1.3473,1.1607,0.6946,60.6777,162.5899,0.4034,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,LSTM,batch_count,,1.3621,1.1671,0.6933,57.1284,160.0931,0.3968,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,Prophet,batch_count,,2.1773,1.4756,0.8918,52.2482,158.1187,0.0358,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,SARIMA_LIGHT,batch_count,,2.4696,1.5715,1.1398,33.1444,146.8817,-0.0937,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,XGBoost,cpu_request_sum,,9375.2422,96.8258,49.1448,83.9938,174.8812,0.4116,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,LSTM,cpu_request_sum,,12791.6538,113.1002,54.2864,88.5508,174.9733,0.1972,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,SARIMA_LIGHT,cpu_request_sum,,16889.8175,129.9608,67.8971,76.1442,157.8424,-0.0599,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,Prophet,cpu_request_sum,,18088.1445,134.4922,63.2888,84.3536,177.2248,-0.1351,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,SARIMA_LIGHT,duration_minutes_mean,,7189401.2487,2681.3059,690.4037,1324.713,169.3381,-0.0457,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,LSTM,duration_minutes_mean,,7231211.1439,2689.0911,652.9405,1050.5963,176.9829,-0.0518,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,XGBoost,duration_minutes_mean,,7239139.5385,2690.5649,647.4827,861.12,176.8626,-0.053,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,Prophet,duration_minutes_mean,,7275395.4307,2697.2941,665.8073,321.9296,179.6681,-0.0582,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,XGBoost,interactive_count,,0.5399,0.7348,0.351,71.4272,183.1326,0.3592,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,LSTM,interactive_count,,0.5674,0.7533,0.3658,76.3751,184.5079,0.3265,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,Prophet,interactive_count,,0.7923,0.8901,0.4602,75.2441,184.3054,0.0596,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,SARIMA_LIGHT,interactive_count,,0.9105,0.9542,0.3873,93.5638,195.0818,-0.0806,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
