role,app_name,job_type,count,probability
cn,app_0,batch,255,0.024136299100804542
cn,app_0,interactive,211,0.019971604353999053
cn,app_10,batch,2,0.0001893043066729768
cn,app_100,batch,5,0.000473260766682442
cn,app_101,batch,6,0.0005679129200189305
cn,app_103,batch,2,0.0001893043066729768
cn,app_103,interactive,4,0.0003786086133459536
cn,app_104,batch,5,0.000473260766682442
cn,app_104,interactive,2,0.0001893043066729768
cn,app_107,batch,9,0.0008518693800283957
cn,app_107,interactive,31,0.0029342167534311407
cn,app_109,batch,10,0.000946521533364884
cn,app_109,interactive,1,9.46521533364884e-05
cn,app_11,batch,17,0.001609086606720303
cn,app_11,interactive,7,0.0006625650733554188
cn,app_110,batch,2,0.0001893043066729768
cn,app_112,batch,4,0.0003786086133459536
cn,app_115,batch,10,0.000946521533364884
cn,app_115,interactive,3,0.00028395646000946523
cn,app_117,batch,2,0.0001893043066729768
cn,app_117,interactive,1,9.46521533364884e-05
cn,app_119,interactive,1,9.46521533364884e-05
cn,app_12,batch,8,0.0007572172266919072
cn,app_12,interactive,2,0.0001893043066729768
cn,app_120,batch,1,9.46521533364884e-05
cn,app_120,interactive,6,0.0005679129200189305
cn,app_122,batch,1,9.46521533364884e-05
cn,app_122,interactive,1,9.46521533364884e-05
cn,app_123,batch,213,0.02016090866067203
cn,app_123,interactive,93,0.008802650260293421
cn,app_124,batch,1,9.46521533364884e-05
cn,app_124,interactive,2,0.0001893043066729768
cn,app_125,interactive,12,0.001135825840037861
cn,app_126,batch,184,0.017415996213913865
cn,app_126,interactive,33,0.003123521060104117
cn,app_127,batch,5,0.000473260766682442
cn,app_128,batch,4,0.0003786086133459536
cn,app_128,interactive,23,0.002176999526739233
cn,app_129,batch,9,0.0008518693800283957
cn,app_129,interactive,4,0.0003786086133459536
cn,app_13,batch,132,0.012494084240416469
cn,app_13,interactive,35,0.003312825366777094
cn,app_130,batch,2,0.0001893043066729768
cn,app_130,interactive,161,0.015238996687174633
cn,app_131,batch,4,0.0003786086133459536
cn,app_131,interactive,1,9.46521533364884e-05
cn,app_132,batch,18,0.0017037387600567914
cn,app_132,interactive,34,0.003218173213440606
cn,app_133,batch,5,0.000473260766682442
cn,app_134,batch,9,0.0008518693800283957
cn,app_134,interactive,3,0.00028395646000946523
cn,app_135,batch,1,9.46521533364884e-05
cn,app_136,batch,10,0.000946521533364884
cn,app_136,interactive,121,0.011452910553715097
cn,app_137,batch,14,0.0013251301467108376
cn,app_137,interactive,1,9.46521533364884e-05
cn,app_138,batch,19,0.0017983909133932796
cn,app_138,interactive,1,9.46521533364884e-05
cn,app_139,batch,36,0.0034074775201135827
cn,app_14,batch,168,0.015901561760530054
cn,app_14,interactive,77,0.0072882158069096075
cn,app_140,batch,33,0.003123521060104117
cn,app_140,interactive,285,0.026975863700899196
cn,app_141,batch,11,0.0010411736867013725
cn,app_141,interactive,2,0.0001893043066729768
cn,app_142,batch,31,0.0029342167534311407
cn,app_142,interactive,8,0.0007572172266919072
cn,app_143,batch,28,0.002650260293421675
cn,app_143,interactive,1,9.46521533364884e-05
cn,app_144,batch,110,0.010411736867013724
cn,app_144,interactive,27,0.002555608140085187
