job_id,arrival_offset_seconds,job_type,required_cpu,required_memory,expected_duration_seconds,role,app_name
pred_000001,24.0,interactive,64.0,320.0,431.69,cn,app_87
pred_000002,48.0,interactive,64.0,320.0,491.11,cn,app_87
pred_000003,72.0,interactive,64.0,320.0,382.67,cn,app_87
pred_000004,96.0,interactive,64.0,320.0,446.01,cn,app_87
pred_000005,120.0,interactive,64.0,320.0,414.53,cn,app_87
pred_000006,144.0,interactive,64.0,320.0,416.53,cn,app_87
pred_000007,168.0,interactive,64.0,320.0,405.85,cn,app_87
pred_000008,192.0,interactive,64.0,320.0,468.86,cn,app_87
pred_000009,216.0,interactive,64.0,320.0,374.17,cn,app_87
pred_000010,240.0,interactive,64.0,320.0,407.75,cn,app_87
pred_000011,264.0,interactive,64.0,320.0,465.22,cn,app_87
pred_000012,288.0,interactive,64.0,320.0,410.34,cn,app_87
pred_000013,312.0,interactive,64.0,320.0,422.77,cn,app_87
pred_000014,336.0,interactive,64.0,320.0,477.03,cn,app_87
pred_000015,360.0,interactive,64.0,320.0,487.82,cn,app_87
pred_000016,384.0,interactive,64.0,320.0,485.72,cn,app_87
pred_000017,408.0,interactive,64.0,320.0,390.1,cn,app_87
pred_000018,432.0,interactive,64.0,320.0,367.98,cn,app_87
pred_000019,456.0,interactive,64.0,320.0,378.3,cn,app_87
pred_000020,480.0,interactive,64.0,320.0,359.32,cn,app_87
pred_000021,504.0,interactive,64.0,320.0,347.57,cn,app_87
pred_000022,528.0,interactive,64.0,320.0,360.28,cn,app_87
pred_000023,552.0,interactive,64.0,320.0,345.65,cn,app_87
pred_000024,576.0,interactive,64.0,320.0,369.61,cn,app_87
pred_000025,600.0,interactive,64.0,320.0,342.67,cn,app_87
pred_000026,624.0,interactive,64.0,320.0,343.17,cn,app_87
pred_000027,648.0,interactive,64.0,320.0,344.19,cn,app_87
pred_000028,672.0,interactive,64.0,320.0,350.05,cn,app_87
pred_000029,696.0,interactive,64.0,320.0,432.96,cn,app_87
pred_000030,720.0,interactive,64.0,320.0,393.06,cn,app_87
pred_000031,744.0,interactive,64.0,320.0,391.08,cn,app_87
pred_000032,768.0,interactive,64.0,320.0,417.87,cn,app_87
pred_000033,792.0,interactive,64.0,320.0,409.12,cn,app_87
pred_000034,816.0,interactive,64.0,320.0,438.64,cn,app_87
pred_000035,840.0,interactive,64.0,320.0,404.74,cn,app_87
pred_000036,864.0,interactive,64.0,320.0,395.42,cn,app_87
pred_000037,888.0,interactive,64.0,320.0,405.37,cn,app_87
pred_000038,912.0,interactive,64.0,320.0,404.19,cn,app_87
pred_000039,936.0,interactive,64.0,320.0,419.96,cn,app_87
pred_000040,960.0,interactive,64.0,320.0,401.01,cn,app_87
pred_000041,984.0,interactive,64.0,320.0,387.08,cn,app_87
pred_000042,1008.0,interactive,64.0,320.0,404.41,cn,app_87
pred_000043,1032.0,interactive,64.0,320.0,361.28,cn,app_87
pred_000044,1056.0,interactive,64.0,320.0,427.14,cn,app_87
pred_000045,1080.0,interactive,64.0,320.0,356.57,cn,app_87
pred_000046,1104.0,interactive,64.0,320.0,404.93,cn,app_87
pred_000047,1128.0,interactive,64.0,320.0,384.16,cn,app_87
pred_000048,1152.0,interactive,64.0,320.0,370.1,cn,app_87
pred_000049,1176.0,interactive,64.0,320.0,444.4,cn,app_87
pred_000050,1200.0,interactive,64.0,320.0,428.87,cn,app_87
pred_000051,1224.0,interactive,64.0,320.0,492.75,cn,app_87
pred_000052,1248.0,interactive,64.0,320.0,501.65,cn,app_87
pred_000053,1272.0,interactive,64.0,320.0,490.04,cn,app_87
pred_000054,1296.0,interactive,64.0,320.0,502.23,cn,app_87
pred_000055,1320.0,interactive,64.0,320.0,514.36,cn,app_87
pred_000056,1344.0,interactive,64.0,320.0,533.07,cn,app_87
pred_000057,1368.0,interactive,64.0,320.0,546.47,cn,app_87
pred_000058,1392.0,interactive,64.0,320.0,533.83,cn,app_87
pred_000059,1416.0,interactive,64.0,320.0,540.94,cn,app_87
pred_000060,1440.0,interactive,64.0,320.0,537.29,cn,app_87
pred_000061,1464.0,interactive,64.0,320.0,535.58,cn,app_87
pred_000062,1488.0,interactive,64.0,320.0,546.47,cn,app_87
pred_000063,1512.0,interactive,64.0,320.0,533.83,cn,app_87
pred_000064,1536.0,interactive,64.0,320.0,539.73,cn,app_87
pred_000065,1560.0,interactive,64.0,320.0,537.29,cn,app_87
